date,Open,High,Low,Close,Volume,aVWAP_peak_869,aVWAP_peak_868,aVWAP_peak_867,aVWAP_peak_866,aVWAP_peak_865,aVWAP_peak_864,aVWAP_peak_821,aVWAP_peak_820,aVWAP_peak_800,aVWAP_peak_799,aVWAP_peak_761,aVWAP_peak_760,aVWAP_peak_759,aVWAP_peak_758,aVWAP_peak_757,aVWAP_peak_756,aVWAP_peak_737,aVWAP_peak_736,aVWAP_peak_735,aVWAP_peak_734,aVWAP_peak_733,aVWAP_peak_720,aVWAP_peak_704,aVWAP_peak_703,aVWAP_peak_702,aVWAP_peak_701,aVWAP_peak_700,aVWAP_peak_699,aVWAP_peak_698,aVWAP_peak_697,aVWAP_peak_696,aVWAP_peak_695,aVWAP_peak_694,aVWAP_peak_693,aVWAP_peak_692,aVWAP_peak_679,aVWAP_peak_666,aVWAP_peak_665,aVWAP_peak_664,aVWAP_peak_663,aVWAP_peak_662,aVWAP_peak_661,aVWAP_peak_660,aVWAP_peak_659,aVWAP_peak_658,aVWAP_peak_657,aVWAP_peak_656,aVWAP_peak_655,aVWAP_peak_654,aVWAP_peak_653,aVWAP_peak_652,aVWAP_peak_651,aVWAP_peak_650,aVWAP_peak_649,aVWAP_peak_648,aVWAP_peak_647,aVWAP_peak_646,aVWAP_peak_645,aVWAP_peak_644,aVWAP_peak_643,aVWAP_peak_642,aVWAP_peak_641,aVWAP_peak_640,aVWAP_peak_639,aVWAP_peak_638,aVWAP_peak_637,aVWAP_peak_601,aVWAP_peak_600,aVWAP_peak_599,aVWAP_peak_598,aVWAP_peak_597,aVWAP_peak_596,aVWAP_peak_595,aVWAP_peak_594,aVWAP_peak_581,aVWAP_peak_580,aVWAP_peak_579,aVWAP_peak_578,aVWAP_peak_565,aVWAP_peak_564,aVWAP_peak_551,aVWAP_peak_550,aVWAP_peak_549,aVWAP_peak_548,aVWAP_peak_547,aVWAP_peak_546,aVWAP_peak_545,aVWAP_peak_532,aVWAP_peak_531,aVWAP_peak_530,aVWAP_peak_529,aVWAP_peak_528,aVWAP_peak_527,aVWAP_peak_526,aVWAP_peak_525,aVWAP_peak_524,aVWAP_peak_523,aVWAP_peak_522,aVWAP_peak_521,aVWAP_peak_520,aVWAP_peak_519,aVWAP_peak_506,aVWAP_peak_473,aVWAP_peak_472,aVWAP_peak_471,aVWAP_peak_470,aVWAP_peak_469,aVWAP_peak_468,aVWAP_peak_467,aVWAP_peak_445,aVWAP_peak_444,aVWAP_peak_443,aVWAP_peak_442,aVWAP_peak_441,aVWAP_peak_407,aVWAP_peak_406,aVWAP_peak_405,aVWAP_peak_404,aVWAP_peak_391,aVWAP_peak_390,aVWAP_peak_389,aVWAP_peak_388,aVWAP_peak_387,aVWAP_peak_386,aVWAP_peak_385,aVWAP_peak_384,aVWAP_peak_383,aVWAP_peak_330,aVWAP_peak_329,aVWAP_peak_300,aVWAP_peak_299,aVWAP_peak_298,aVWAP_peak_297,aVWAP_peak_271,aVWAP_peak_270,aVWAP_peak_269,aVWAP_peak_268,aVWAP_peak_267,aVWAP_peak_266,aVWAP_peak_265,aVWAP_peak_264,aVWAP_peak_263,aVWAP_peak_262,aVWAP_peak_261,aVWAP_peak_260,aVWAP_peak_259,aVWAP_peak_258,aVWAP_peak_237,aVWAP_peak_236,aVWAP_peak_215,aVWAP_peak_175,aVWAP_peak_147,aVWAP_peak_146,aVWAP_peak_145,aVWAP_peak_144,aVWAP_peak_125,aVWAP_peak_124,aVWAP_peak_123,aVWAP_peak_122,aVWAP_peak_121,aVWAP_peak_120,aVWAP_peak_119,aVWAP_peak_94,aVWAP_peak_93,aVWAP_peak_92,aVWAP_peak_91,aVWAP_peak_72,aVWAP_peak_71,aVWAP_peak_70,aVWAP_peak_69,aVWAP_peak_44,aVWAP_peak_43,aVWAP_peak_19,aVWAP_peak_18,aVWAP_peak_17,aVWAP_peak_16,aVWAP_peak_15,aVWAP_peak_14,aVWAP_peak_13,aVWAP_peak_12,aVWAP_valley_875,aVWAP_valley_874,aVWAP_valley_873,aVWAP_valley_872,aVWAP_valley_871,aVWAP_valley_870,aVWAP_valley_869,aVWAP_valley_868,aVWAP_valley_867,aVWAP_valley_866,aVWAP_valley_865,aVWAP_valley_864,aVWAP_valley_863,aVWAP_valley_862,aVWAP_valley_861,aVWAP_valley_848,aVWAP_valley_847,aVWAP_valley_846,aVWAP_valley_816,aVWAP_valley_781,aVWAP_valley_780,aVWAP_valley_742,aVWAP_valley_741,aVWAP_valley_740,aVWAP_valley_739,aVWAP_valley_738,aVWAP_valley_713,aVWAP_valley_712,aVWAP_valley_711,aVWAP_valley_710,aVWAP_valley_709,aVWAP_valley_696,aVWAP_valley_695,aVWAP_valley_694,aVWAP_valley_693,aVWAP_valley_692,aVWAP_valley_691,aVWAP_valley_690,aVWAP_valley_689,aVWAP_valley_688,aVWAP_valley_687,aVWAP_valley_686,aVWAP_valley_685,aVWAP_valley_669,aVWAP_valley_668,aVWAP_valley_653,aVWAP_valley_652,aVWAP_valley_651,aVWAP_valley_650,aVWAP_valley_613,aVWAP_valley_612,aVWAP_valley_611,aVWAP_valley_610,aVWAP_valley_588,aVWAP_valley_587,aVWAP_valley_586,aVWAP_valley_585,aVWAP_valley_584,aVWAP_valley_583,aVWAP_valley_582,aVWAP_valley_569,aVWAP_valley_568,aVWAP_valley_567,aVWAP_valley_566,aVWAP_valley_565,aVWAP_valley_545,aVWAP_valley_544,aVWAP_valley_543,aVWAP_valley_542,aVWAP_valley_541,aVWAP_valley_540,aVWAP_valley_539,aVWAP_valley_538,aVWAP_valley_537,aVWAP_valley_536,aVWAP_valley_535,aVWAP_valley_534,aVWAP_valley_533,aVWAP_valley_532,aVWAP_valley_531,aVWAP_valley_530,aVWAP_valley_529,aVWAP_valley_528,aVWAP_valley_527,aVWAP_valley_526,aVWAP_valley_525,aVWAP_valley_524,aVWAP_valley_523,aVWAP_valley_522,aVWAP_valley_521,aVWAP_valley_520,aVWAP_valley_519,aVWAP_valley_491,aVWAP_valley_490,aVWAP_valley_489,aVWAP_valley_488,aVWAP_valley_487,aVWAP_valley_486,aVWAP_valley_485,aVWAP_valley_484,aVWAP_valley_483,aVWAP_valley_482,aVWAP_valley_481,aVWAP_valley_480,aVWAP_valley_479,aVWAP_valley_478,aVWAP_valley_477,aVWAP_valley_476,aVWAP_valley_475,aVWAP_valley_474,aVWAP_valley_461,aVWAP_valley_460,aVWAP_valley_459,aVWAP_valley_458,aVWAP_valley_457,aVWAP_valley_456,aVWAP_valley_455,aVWAP_valley_454,aVWAP_valley_453,aVWAP_valley_452,aVWAP_valley_431,aVWAP_valley_430,aVWAP_valley_429,aVWAP_valley_428,aVWAP_valley_427,aVWAP_valley_426,aVWAP_valley_425,aVWAP_valley_424,aVWAP_valley_423,aVWAP_valley_422,aVWAP_valley_421,aVWAP_valley_420,aVWAP_valley_407,aVWAP_valley_394,aVWAP_valley_393,aVWAP_valley_392,aVWAP_valley_391,aVWAP_valley_358,aVWAP_valley_357,aVWAP_valley_356,aVWAP_valley_337,aVWAP_valley_336,aVWAP_valley_317,aVWAP_valley_316,aVWAP_valley_315,aVWAP_valley_314,aVWAP_valley_313,aVWAP_valley_312,aVWAP_valley_311,aVWAP_valley_310,aVWAP_valley_309,aVWAP_valley_308,aVWAP_valley_286,aVWAP_valley_250,aVWAP_valley_249,aVWAP_valley_234,aVWAP_valley_203,aVWAP_valley_202,aVWAP_valley_201,aVWAP_valley_200,aVWAP_valley_199,aVWAP_valley_198,aVWAP_valley_197,aVWAP_valley_134,aVWAP_valley_133,aVWAP_valley_132,aVWAP_valley_131,aVWAP_valley_107,aVWAP_valley_106,aVWAP_valley_105,aVWAP_valley_104,aVWAP_valley_103,aVWAP_valley_102,aVWAP_valley_101,aVWAP_valley_78,aVWAP_valley_77,aVWAP_valley_52,aVWAP_valley_51,aVWAP_valley_38,aVWAP_valley_37,aVWAP_valley_36,aVWAP_valley_35,aVWAP_valley_34,aVWAP_valley_33,aVWAP_valley_32,aVWAP_valley_31,aVWAP_valley_30,aVWAP_valley_29,aVWAP_valley_28,aVWAP_valley_27,aVWAP_valley_26,aVWAP_valley_25,aVWAP_OB_bull_569,aVWAP_OB_bull_544,aVWAP_OB_bull_407,aVWAP_OB_bear_821,aVWAP_OB_bear_271,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-02-14 18:00:00+00:00,12.9,12.9,12.9,12.9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.925,12.925,12.925,12.925,12.925,12.925,12.952977883096366,12.880987878787879,12.880987878787879,12.880987878787879,12.839297435897436,12.616814024390244,12.616814024390244,12.616814024390244,12.616438703140831,12.562825651302603,12.562047713717693,12.547536818851253,12.547536818851253,12.547536818851253,12.547536818851253,12.547536818851253,12.547536818851253,12.547536818851253,12.547536818851253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.95153787878788,12.95153787878788,12.95153787878788,12.95153787878788,12.95153787878788,12.95153787878788,12.94305925925926,12.633822278911564,12.6169788488916,12.58178267973856,12.58178267973856,12.55509954058193,12.55509954058193,12.55509954058193,12.55509954058193,12.55509954058193,12.55509954058193,12.55509954058193,12.55509954058193,12.55509954058193,12.55509954058193,12.55509954058193,12.55509954058193,12.55509954058193,12.547721238938053,,,,,,12.83747960284789,#000000,0.21882544773535142,12.894416330757357,0.025516544352721323,54.46224565659373,13.812160971143427,False,True,False,False,False,20.0,0.0,0.0,0.0,0.0,0,1.1839080459770115,0.8160919540229885,False,False,False,False,0.26770474555007573,0.26770474555007573,False,False,False,False,1179.0,531.2585461341362,False,False,False,False,20.165380582417214,False,False,False,False
2025-02-14 19:00:00+00:00,12.9,12.9,12.9,12.9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.925,12.925,12.925,12.925,12.925,12.925,12.952977883096366,12.880987878787879,12.880987878787879,12.880987878787879,12.839297435897436,12.616814024390244,12.616814024390244,12.616814024390244,12.616438703140831,12.562825651302603,12.562047713717693,12.547536818851253,12.547536818851253,12.547536818851253,12.547536818851253,12.547536818851253,12.547536818851253,12.547536818851253,12.547536818851253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.95153787878788,12.95153787878788,12.95153787878788,12.95153787878788,12.95153787878788,12.95153787878788,12.94305925925926,12.633822278911564,12.6169788488916,12.58178267973856,12.58178267973856,12.55509954058193,12.55509954058193,12.55509954058193,12.55509954058193,12.55509954058193,12.55509954058193,12.55509954058193,12.55509954058193,12.55509954058193,12.55509954058193,12.55509954058193,12.55509954058193,12.55509954058193,12.547721238938053,,,,,,12.83747960284789,#000000,0.22034968114790274,12.894416330757357,0.02534003776885584,52.400267274278534,12.004768270852836,False,True,False,False,False,20.0,0.0,0.0,0.0,0.0,0,1.1839080459770115,0.8160919540229885,False,False,False,False,0.26770474555007573,0.26770474555007573,False,False,False,False,1179.0,541.3010492948473,False,False,False,False,19.85273902299989,False,False,False,False
2025-02-14 20:00:00+00:00,12.9,12.9,12.88,12.88,308.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.89606209150327,12.89606209150327,12.89606209150327,12.89606209150327,12.89606209150327,12.89606209150327,12.925,12.883026418026418,12.883026418026418,12.883026418026418,12.854526791927627,12.659480663928816,12.659480663928816,12.659480663928816,12.65905529953917,12.598410036865262,12.5974648718857,12.582077821869488,12.582077821869488,12.582077821869488,12.582077821869488,12.582077821869488,12.582077821869488,12.582077821869488,12.582077821869488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.886666666666668,12.924826203208557,12.924826203208557,12.924826203208557,12.924826203208557,12.924826203208557,12.924826203208557,12.92014511873351,12.675334044065387,12.659641328539633,12.621775979557068,12.621775979557068,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.582289183222956,,,,,,12.845328810544345,#000000,0.22140322352528607,12.89180408218717,-0.05331486145151202,47.633348165901346,7.493295869946145,False,True,False,True,False,20.0,0.0,0.0,0.0,0.0,0,1.1731207289293852,0.8177676537585421,False,False,False,False,0.2579241107675092,0.26281442815879247,False,False,False,False,871.0,546.4126609336869,False,False,False,False,24.32013841799214,False,False,False,False
2025-02-17 15:00:00+00:00,12.88,12.88,12.88,12.88,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.89606209150327,12.89606209150327,12.89606209150327,12.89606209150327,12.89606209150327,12.89606209150327,12.925,12.883026418026418,12.883026418026418,12.883026418026418,12.854526791927627,12.659480663928816,12.659480663928816,12.659480663928816,12.65905529953917,12.598410036865262,12.5974648718857,12.582077821869488,12.582077821869488,12.582077821869488,12.582077821869488,12.582077821869488,12.582077821869488,12.582077821869488,12.582077821869488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.886666666666668,12.924826203208557,12.924826203208557,12.924826203208557,12.924826203208557,12.924826203208557,12.924826203208557,12.92014511873351,12.675334044065387,12.659641328539633,12.621775979557068,12.621775979557068,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.582289183222956,,,,,,12.845328810544345,#000000,0.2221524920628398,12.89180408218717,-0.05313504285979281,44.45540209364988,4.402232389539151,False,True,False,True,False,20.0,0.0,0.0,0.0,0.0,0,1.1731207289293852,0.8268792710706149,False,False,False,False,0.24819152090472543,0.25550297453175896,False,False,False,False,871.0,551.4450227796763,False,False,False,False,23.943082008410865,False,False,False,False
2025-02-17 16:00:00+00:00,12.88,12.88,12.88,12.88,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.89606209150327,12.89606209150327,12.89606209150327,12.89606209150327,12.89606209150327,12.89606209150327,12.925,12.883026418026418,12.883026418026418,12.883026418026418,12.854526791927627,12.659480663928816,12.659480663928816,12.659480663928816,12.65905529953917,12.598410036865262,12.5974648718857,12.582077821869488,12.582077821869488,12.582077821869488,12.582077821869488,12.582077821869488,12.582077821869488,12.582077821869488,12.582077821869488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.886666666666668,12.924826203208557,12.924826203208557,12.924826203208557,12.924826203208557,12.924826203208557,12.924826203208557,12.92014511873351,12.675334044065387,12.659641328539633,12.621775979557068,12.621775979557068,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.582289183222956,,,,,,12.845328810544345,#000000,0.22263356149220412,12.89180408218717,-0.05302022798383034,42.33677137881557,2.1531963931331646,False,True,False,True,False,20.0,0.0,0.0,0.0,0.0,0,1.1731207289293852,0.8268792710706149,False,False,False,False,0.24819152090472543,0.2518472477182422,False,False,False,False,871.0,556.3993635117743,False,False,False,False,23.571871434637053,False,False,False,False
2025-02-17 17:00:00+00:00,12.88,12.88,12.88,12.88,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.89606209150327,12.89606209150327,12.89606209150327,12.89606209150327,12.89606209150327,12.89606209150327,12.925,12.883026418026418,12.883026418026418,12.883026418026418,12.854526791927627,12.659480663928816,12.659480663928816,12.659480663928816,12.65905529953917,12.598410036865262,12.5974648718857,12.582077821869488,12.582077821869488,12.582077821869488,12.582077821869488,12.582077821869488,12.582077821869488,12.582077821869488,12.582077821869488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.886666666666668,12.924826203208557,12.924826203208557,12.924826203208557,12.924826203208557,12.924826203208557,12.924826203208557,12.92014511873351,12.675334044065387,12.659641328539633,12.621775979557068,12.621775979557068,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.582289183222956,,,,,,12.845328810544345,#000000,0.22302298592802614,12.89180408218717,-0.052927648412788186,40.92435090225936,0.4059015834539963,False,True,False,True,False,20.0,0.0,0.0,0.0,0.0,0,1.1731207289293852,0.8268792710706149,False,False,False,False,0.24819152090472543,0.2500193843114838,False,False,False,False,871.0,561.2768927596537,False,False,False,False,23.20641606355741,False,False,False,False
2025-02-17 18:00:00+00:00,12.88,12.88,12.88,12.88,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.89606209150327,12.89606209150327,12.89606209150327,12.89606209150327,12.89606209150327,12.89606209150327,12.925,12.883026418026418,12.883026418026418,12.883026418026418,12.854526791927627,12.659480663928816,12.659480663928816,12.659480663928816,12.65905529953917,12.598410036865262,12.5974648718857,12.582077821869488,12.582077821869488,12.582077821869488,12.582077821869488,12.582077821869488,12.582077821869488,12.582077821869488,12.582077821869488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.886666666666668,12.924826203208557,12.924826203208557,12.924826203208557,12.924826203208557,12.924826203208557,12.924826203208557,12.92014511873351,12.675334044065387,12.659641328539633,12.621775979557068,12.621775979557068,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.582289183222956,,,,,,12.845328810544345,#000000,0.22326256106022663,12.89180408218717,-0.0528708536313195,39.98273725122189,-1.0351323029262005,False,True,False,True,False,20.0,0.0,0.0,0.0,0.0,0,1.1731207289293852,0.8268792710706149,False,False,False,False,0.24819152090472543,0.24910545260810463,False,False,False,False,871.0,566.0788013990389,False,False,False,False,22.846626667223184,False,False,False,False
2025-02-17 19:00:00+00:00,12.88,12.88,12.88,12.88,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.89606209150327,12.89606209150327,12.89606209150327,12.89606209150327,12.89606209150327,12.89606209150327,12.925,12.883026418026418,12.883026418026418,12.883026418026418,12.854526791927627,12.659480663928816,12.659480663928816,12.659480663928816,12.65905529953917,12.598410036865262,12.5974648718857,12.582077821869488,12.582077821869488,12.582077821869488,12.582077821869488,12.582077821869488,12.582077821869488,12.582077821869488,12.582077821869488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.886666666666668,12.924826203208557,12.924826203208557,12.924826203208557,12.924826203208557,12.924826203208557,12.924826203208557,12.92014511873351,12.675334044065387,12.659641328539633,12.621775979557068,12.621775979557068,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.582289183222956,,,,,,12.845328810544345,#000000,0.22335276908840793,12.89180408218717,-0.05284950007714684,39.35499481719691,-2.279014662002112,False,True,False,True,False,20.0,0.0,0.0,0.0,0.0,0,1.1731207289293852,0.8268792710706149,False,False,False,False,0.24819152090472543,0.24864848675641504,False,False,False,False,871.0,570.8062618424646,False,False,False,False,22.492415401064683,False,False,False,False
2025-02-17 20:00:00+00:00,12.88,12.88,12.88,12.88,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.89606209150327,12.89606209150327,12.89606209150327,12.89606209150327,12.89606209150327,12.89606209150327,12.925,12.883026418026418,12.883026418026418,12.883026418026418,12.854526791927627,12.659480663928816,12.659480663928816,12.659480663928816,12.65905529953917,12.598410036865262,12.5974648718857,12.582077821869488,12.582077821869488,12.582077821869488,12.582077821869488,12.582077821869488,12.582077821869488,12.582077821869488,12.582077821869488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.886666666666668,12.924826203208557,12.924826203208557,12.924826203208557,12.924826203208557,12.924826203208557,12.924826203208557,12.92014511873351,12.675334044065387,12.659641328539633,12.621775979557068,12.621775979557068,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.582289183222956,,,,,,12.845328810544345,#000000,0.22329379104022862,12.89180408218717,-0.05286345908759348,38.93649986118026,-3.3846292952817265,False,True,False,True,False,20.0,0.0,0.0,0.0,0.0,0,1.1731207289293852,0.8268792710706149,False,False,False,False,0.24819152090472543,0.24842000383057022,False,False,False,False,871.0,575.4604283255271,False,False,False,False,22.143695782443526,False,False,False,False
2025-02-18 15:00:00+00:00,12.88,12.88,12.88,12.88,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.89606209150327,12.89606209150327,12.89606209150327,12.89606209150327,12.89606209150327,12.89606209150327,12.925,12.883026418026418,12.883026418026418,12.883026418026418,12.854526791927627,12.659480663928816,12.659480663928816,12.659480663928816,12.65905529953917,12.598410036865262,12.5974648718857,12.582077821869488,12.582077821869488,12.582077821869488,12.582077821869488,12.582077821869488,12.582077821869488,12.582077821869488,12.582077821869488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.886666666666668,12.924826203208557,12.924826203208557,12.924826203208557,12.924826203208557,12.924826203208557,12.924826203208557,12.92014511873351,12.675334044065387,12.659641328539633,12.621775979557068,12.621775979557068,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.590073059360728,12.582289183222956,,,,,,12.845328810544345,#000000,0.22308550859288073,12.89180408218717,-0.05291281473917071,38.657503223835825,-4.382637696081538,False,True,False,True,False,20.0,0.0,0.0,0.0,0.0,0,1.1731207289293852,0.8268792710706149,False,False,False,False,0.24819152090472543,0.24830576236764784,False,False,False,False,871.0,580.0424371886972,False,False,False,False,21.800382669537424,False,False,False,False
