date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_876,Gap_Up_aVWAP_798,Gap_Up_aVWAP_786,Gap_Up_aVWAP_750,Gap_Up_aVWAP_744,Gap_Up_aVWAP_732,Gap_Up_aVWAP_726,Gap_Up_aVWAP_702,Gap_Up_aVWAP_690,Gap_Up_aVWAP_666,Gap_Down_aVWAP_888,Gap_Down_aVWAP_846,Gap_Down_aVWAP_810,Gap_Down_aVWAP_804,Gap_Down_aVWAP_774,Gap_Down_aVWAP_768,Gap_Down_aVWAP_714,Gap_Down_aVWAP_708,Gap_Down_aVWAP_696,Gap_Down_aVWAP_672,aVWAP_OB_bull_185,aVWAP_OB_bear_747,aVWAP_OB_bear_545,aVWAP_OB_bear_415,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-03-26 18:00:00+00:00,18.935,18.98,18.855,18.865,81091.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.08006223401442,-16.745823951824512,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,46763.0,13475.101394277322,False,False,False,False,85053.21785490296,False,False,False,False
2025-03-26 19:00:00+00:00,18.865,19.04,18.865,18.93,207765.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.54152994812404,-16.745823951824512,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,254528.0,17212.35563622651,False,False,False,False,86955.72610521455,False,False,False,False
2025-03-27 14:00:00+00:00,18.875,19.02,18.755,18.97,64419.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.26510603708013,-13.918736971198712,False,False,False,False,True,,0,,,False,False,False,False,,,False,False,False,False,318947.0,21890.412137990443,False,False,False,False,86606.31949893215,False,False,False,False
2025-03-27 15:00:00+00:00,18.965,19.015,18.94,18.98,47204.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.51040342918999,-11.0045964332812,False,False,False,False,True,,1,,,False,False,False,False,,,False,False,False,False,366151.0,27227.785593215398,False,False,False,False,85995.43082453009,False,False,False,False
2025-03-27 16:00:00+00:00,18.985,19.04,18.94,19.01,55976.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.2956682800416,-7.609198459699009,False,False,True,False,True,,1,,,False,False,False,False,,,False,False,False,False,422127.0,33350.25403363066,False,False,False,False,85530.01329236683,False,False,False,False
2025-03-27 17:00:00+00:00,19.005,19.02,18.87,18.87,54332.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.054044759185174,-7.609198459699009,False,False,False,False,True,,1,,,False,False,False,False,,,False,False,False,False,367795.0,38535.443893574375,False,False,False,False,85046.323163803,False,False,False,False
2025-03-27 18:00:00+00:00,18.875,18.94,18.87,18.87,53249.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.22629574528089,-7.609198459699009,False,False,False,True,False,,1,,,False,False,False,False,,,False,False,False,False,367795.0,43640.243213053844,False,False,False,False,84553.34140932543,False,False,False,False
2025-03-27 19:00:00+00:00,18.875,18.955,18.87,18.885,119184.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.14224456169477,-7.609198459699009,False,False,False,True,False,,1,,,False,False,False,False,,,False,False,False,False,486979.0,50513.71231052588,False,False,False,False,85090.25084483976,False,False,False,False
2025-03-28 14:00:00+00:00,18.75,18.755,18.585,18.7,70747.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.27080126141542,-1.3167674481913139,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,416232.0,56183.76328245571,False,False,False,False,84867.87486274922,False,False,False,False
2025-03-28 15:00:00+00:00,18.695,18.785,18.65,18.65,50916.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.4524933212364,-6.123399854402493,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,365316.0,60976.51113854167,False,False,False,False,84341.4892059624,False,False,False,False
2025-03-28 16:00:00+00:00,18.655,18.655,18.515,18.535,75330.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.55995533019935,-10.896175977570863,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,289986.0,64527.04584957202,False,False,False,False,84201.77619501724,False,False,False,False
2025-03-28 17:00:00+00:00,18.535,18.605,18.455,18.605,93135.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.563881227743607,-11.196964642525415,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,383121.0,69466.48699919105,False,False,False,False,84340.27578889293,False,False,False,False
2025-03-28 18:00:00+00:00,18.605,18.68,18.605,18.64,50180.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.075440098035997,-11.196964642525415,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,433301.0,75107.33216199429,False,False,False,False,83810.65910999537,False,False,False,False
2025-03-28 19:00:00+00:00,18.645,18.73,18.645,18.705,160621.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.68386830921895,-11.196964642525415,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,593922.0,83150.97042304864,False,False,False,False,85001.51710829002,False,False,False,False
2025-03-31 14:00:00+00:00,18.365,18.58,18.365,18.55,59127.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,18.49833333333333,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.72278029520278,-11.196964642525415,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,534795.0,90153.20343974556,False,False,False,False,84600.36180428552,False,False,False,False
2025-03-31 15:00:00+00:00,18.555,18.625,18.46,18.465,75239.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,18.508599186798246,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.70975866043579,-11.196964642525415,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,459556.0,95880.37858021462,False,False,False,False,84455.22441197102,False,False,False,False
2025-03-31 16:00:00+00:00,18.465,18.625,18.46,18.515,99807.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,18.519141140666655,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.269933419256944,-11.196964642525415,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,559363.0,103066.15565649034,False,False,False,False,84693.23643659163,False,False,False,False
2025-03-31 17:00:00+00:00,18.515,18.56,18.43,18.465,90749.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,18.50960570023985,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.735871989533464,-11.556616511015179,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,468614.0,108733.5640959246,False,False,False,False,84787.12424377626,False,False,False,False
2025-03-31 18:00:00+00:00,18.465,18.575,18.455,18.535,127543.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,18.51300550318809,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.00995905671257,-11.556616511015179,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,596157.0,116290.51659056143,False,False,False,False,85450.00603844639,False,False,False,False
2025-03-31 19:00:00+00:00,18.535,18.645,18.505,18.6,160097.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,18.53138613179836,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.70216292286207,-11.556616511015179,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,756254.0,126212.43106202559,False,False,False,False,86607.32377428444,False,False,False,False
2025-04-01 14:00:00+00:00,18.655,18.695,18.43,18.65,90504.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,18.539145900479706,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.70500742217645,-14.530218933322402,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,846758.0,137383.6801928469,False,False,False,False,86667.73735917926,False,False,False,False
2025-04-01 15:00:00+00:00,18.645,18.785,18.645,18.785,73227.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,18.55793506661359,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.78792015956365,-8.847732379090047,False,False,False,False,True,,0,,,False,False,False,False,,,False,False,False,False,919985.0,149517.03398830665,False,False,False,False,86459.35383423073,False,False,False,False
2025-04-01 16:00:00+00:00,18.785,18.835,18.73,18.765,52621.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,18.571820554766035,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.18705134487422,-5.779360967983486,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,867364.0,160646.44431406935,False,False,False,False,85934.72819338994,False,False,False,False
2025-04-01 17:00:00+00:00,18.765,18.765,18.64,18.755,94015.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,18.58691498840467,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.10264862489817,-3.9883531789381834,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,773349.0,170145.70874330858,False,False,False,False,86060.00372527537,False,False,False,False
2025-04-01 18:00:00+00:00,18.755,18.76,18.555,18.59,70512.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,18.59032794432013,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.60042786348231,-3.9883531789381834,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,702837.0,178404.48845271464,False,False,False,False,85818.94940395327,False,False,False,False
2025-04-01 19:00:00+00:00,18.595,18.775,18.575,18.735,105977.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,18.60041767401783,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.07994749625806,-3.9883531789381834,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,808814.0,188178.27932941672,False,False,False,False,86131.47732017105,False,False,False,False
2025-04-02 14:00:00+00:00,18.69,18.825,18.67,18.825,104886.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,18.615477353171073,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.93824642374595,-3.2187772406561166,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,913700.0,199426.67809950328,False,False,False,False,86422.24511365677,False,False,False,False
2025-04-02 15:00:00+00:00,18.825,18.88,18.785,18.82,105847.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,18.632673971677058,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.693074277683905,-1.3324146650868727,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,807853.0,208859.64433051873,False,False,False,False,86723.40410414271,False,False,False,False
2025-04-02 16:00:00+00:00,18.815,18.93,18.785,18.895,54093.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,18.642084074891784,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.40497346353785,1.4734963817365312,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,861946.0,218985.01418585953,False,False,False,False,86217.50636609399,False,False,False,False
2025-04-02 17:00:00+00:00,18.895,18.935,18.825,18.855,53834.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,18.761233152666264,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.85759319133315,2.2182808110448065,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,808112.0,228118.7659039082,False,False,False,False,85715.43649995301,False,False,False,False
2025-04-02 18:00:00+00:00,18.855,18.89,18.815,18.825,63972.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,18.757695564536462,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.14325115933292,2.2182808110448065,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,744140.0,236119.09511470032,False,False,False,False,85378.32895731807,False,False,False,False
2025-04-02 19:00:00+00:00,18.825,18.935,18.825,18.905,93782.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,18.810524245806675,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.58184005081641,3.674039198158958,True,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,837922.0,245449.37270982124,False,False,False,False,85508.61843084802,False,False,False,False
2025-04-03 14:00:00+00:00,17.73,17.98,17.71,17.865,226398.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,18.356256253854962,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.80058666888568,3.525952616573221,True,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,611524.0,251124.94832672324,False,False,False,False,87692.94992804417,False,False,False,False
2025-04-03 15:00:00+00:00,17.865,18.145,17.855,18.015,217354.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,18.278279915030016,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.81924277951619,-1.603029860947565,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,828878.0,260082.35998057248,False,False,False,False,89703.19876636905,False,False,False,False
2025-04-03 16:00:00+00:00,18.015,18.05,17.88,17.925,81304.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,18.254541862942528,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.24214414084278,-5.480016426551913,False,True,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,747574.0,267640.36990335427,False,False,False,False,89572.97863045635,False,False,False,False
2025-04-03 17:00:00+00:00,17.925,17.985,17.875,17.925,72674.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,18.234998615008774,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.19074504839384,-8.10931746029597,False,True,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,747574.0,275081.20137772086,False,False,False,False,89310.9789617671,False,False,False,False
2025-04-03 18:00:00+00:00,17.925,17.945,17.755,17.885,182269.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,18.18626871797878,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.85556365321852,-10.288835458035038,False,True,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,565305.0,279580.7951548105,False,False,False,False,90752.18859026683,False,False,False,False
2025-04-03 19:00:00+00:00,17.885,17.94,17.7,17.71,250721.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,18.125763564838703,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.068816023264112,-13.051507786184665,False,True,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,314584.0,280123.4805012475,False,False,False,False,93232.32520127045,False,False,False,False
2025-04-04 14:00:00+00:00,16.47,16.505,15.625,16.115,299606.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,17.787761071143105,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.779542415860437,-19.051632887314963,False,True,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,14978.0,276012.69785781734,False,False,False,False,96431.91705861509,False,False,False,False
2025-04-04 15:00:00+00:00,16.105,16.85,16.105,16.425,241073.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,17.637233696278134,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.050145238226637,-19.889788291043402,False,True,False,True,False,0.0,0,,,False,False,False,False,,,False,False,False,False,256051.0,275703.21417009924,False,False,False,False,98674.41446855904,False,False,False,False
2025-04-04 16:00:00+00:00,16.43,16.455,16.17,16.27,298292.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,17.47430280874576,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.16894778358619,-21.114873923749574,False,True,False,True,False,0.0,0,,,False,False,False,False,,,False,False,False,False,-42241.0,270773.84650854726,False,False,False,False,101769.2607558682,False,False,False,False
2025-04-04 17:00:00+00:00,16.275,16.445,16.175,16.41,416361.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,17.312888541745192,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.156056096685788,-21.114873923749574,False,True,False,True,False,0.0,0,,,False,False,False,False,,,False,False,False,False,374120.0,272376.11245415115,False,False,False,False,106646.65206197878,False,False,False,False
2025-04-04 18:00:00+00:00,16.415,16.475,16.0,16.04,298501.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,17.207325966987817,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.681886983727846,-21.65520451899257,False,True,False,True,False,0.0,0,,,False,False,False,False,,,False,False,False,False,75619.0,269325.6145866449,False,False,False,False,109621.13807652173,False,False,False,False
2025-04-04 19:00:00+00:00,16.04,16.475,16.005,16.165,311377.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,17.120786722039735,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.780153420088215,-21.65520451899257,False,True,False,True,False,0.0,0,,,False,False,False,False,,,False,False,False,False,386996.0,271149.9616473171,False,False,False,False,112749.13593580047,False,False,False,False
2025-04-07 14:00:00+00:00,15.63,16.78,15.475,15.895,181364.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,17.06888682098486,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.60253920721043,-21.935253670612227,False,True,False,True,False,0.0,0,,,False,False,False,False,,,False,False,False,False,205632.0,270134.1792961959,False,False,False,False,113812.93227788107,False,False,False,False
2025-04-07 15:00:00+00:00,15.895,16.045,15.41,15.71,49930.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,16.718667825220585,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.912796811577998,-23.21818040903441,False,True,False,True,False,0.0,0,,,False,False,False,False,,,False,False,False,False,155702.0,268360.0369815262,False,False,False,False,112822.49921930928,False,False,False,False
2025-04-07 16:00:00+00:00,15.705,15.87,15.56,15.735,122372.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,16.68729114210192,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.777927476084585,-23.953961701539427,False,True,False,True,False,0.0,0,,,False,False,False,False,,,False,False,False,False,278074.0,268510.64105933195,False,False,False,False,112970.5534949789,False,False,False,False
