date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_858,Gap_Up_aVWAP_852,Gap_Up_aVWAP_846,Gap_Up_aVWAP_834,Gap_Up_aVWAP_828,Gap_Up_aVWAP_822,Gap_Up_aVWAP_810,Gap_Up_aVWAP_792,Gap_Up_aVWAP_786,Gap_Up_aVWAP_768,Gap_Down_aVWAP_864,Gap_Down_aVWAP_798,Gap_Down_aVWAP_780,Gap_Down_aVWAP_774,Gap_Down_aVWAP_756,Gap_Down_aVWAP_750,Gap_Down_aVWAP_744,Gap_Down_aVWAP_738,Gap_Down_aVWAP_702,Gap_Down_aVWAP_696,aVWAP_OB_bull_433,aVWAP_OB_bear_737,aVWAP_OB_bear_178,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-02-06 19:00:00+00:00,87.36,87.42,86.9,86.945,26780.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.579324516256456,-28.896567711286956,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-124888.0,-13081.616657894416,False,False,False,False,73316.40711814788,False,False,False,False
2025-02-06 20:00:00+00:00,86.945,87.225,86.7,87.13,79416.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.63903908038227,-25.296451390894042,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-45472.0,-13583.793143818533,False,False,False,False,73410.97444964945,False,False,False,False
2025-02-07 15:00:00+00:00,88.04,88.04,86.83,87.225,89084.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.17685715478621,-21.38913838106849,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,43612.0,-12697.036660968632,False,False,False,False,73653.96709384094,False,False,False,False
2025-02-07 16:00:00+00:00,87.215,87.29,86.25,86.305,40902.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.74031631063641,-21.38913838106849,False,False,False,False,True,,0,,,False,False,False,False,,,False,False,False,False,2710.0,-12458.167875527257,False,False,False,False,73146.18465827752,False,False,False,False
2025-02-07 17:00:00+00:00,86.285,86.58,86.15,86.5,29549.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.93478567606512,-21.38913838106849,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,32259.0,-11764.878451100478,False,False,False,False,72470.25931473833,False,False,False,False
2025-02-07 18:00:00+00:00,86.49,86.71,86.43,86.45,23627.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.48610866957524,-21.38913838106849,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,8632.0,-11448.647777440005,False,False,False,False,71712.9994804013,False,False,False,False
2025-02-07 19:00:00+00:00,86.45,86.58,86.33,86.495,20521.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.83080983092015,-20.154606607622455,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,29153.0,-10819.164866161866,False,False,False,False,70919.32506985244,False,False,False,False
2025-02-07 20:00:00+00:00,86.495,86.495,86.2,86.4,65803.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.83393984350437,-19.26558362613209,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-36650.0,-11219.64293025238,False,False,False,False,70840.00220055241,False,False,False,False
2025-02-10 15:00:00+00:00,85.71,85.89,85.045,85.105,39791.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.93474922076359,-19.26558362613209,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-76441.0,-12230.826760791102,False,False,False,False,70358.62232147407,False,False,False,False
2025-02-10 16:00:00+00:00,85.155,85.22,84.59,84.6,46073.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.74882729381839,-19.26558362613209,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-122514.0,-13940.643400158682,False,False,False,False,69982.10104517214,False,False,False,False
2025-02-10 17:00:00+00:00,84.59,84.59,84.285,84.36,75205.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.75417728670039,-8.65102125857603,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-197719.0,-16789.92024666785,False,False,False,False,70063.07622276637,False,False,False,False
2025-02-10 18:00:00+00:00,84.35,84.35,83.855,83.985,52643.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.30670637151721,-12.582132254825893,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-250362.0,-20411.192800983077,False,False,False,False,69792.9975216382,False,False,False,False
2025-02-10 19:00:00+00:00,83.985,84.07,83.66,84.03,49645.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.39482855513261,-15.056798396400985,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-200717.0,-23206.631672285665,False,False,False,False,69480.62546703916,False,False,False,False
2025-02-10 20:00:00+00:00,84.03,84.105,83.65,83.92,73224.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.85930012914149,-17.22089342985356,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-273941.0,-27093.986220002167,False,False,False,False,69538.66228150367,False,False,False,False
2025-02-11 15:00:00+00:00,83.415,83.52,82.87,83.225,40745.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.431285399370175,-20.20518157306328,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-314686.0,-31552.777131319963,False,False,False,False,69092.24891279818,False,False,False,False
2025-02-11 16:00:00+00:00,83.21,83.66,83.135,83.46,17917.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.920976259680373,-20.3970779324253,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-296769.0,-35664.656555640584,False,False,False,False,68298.83420097185,False,False,False,False
2025-02-11 17:00:00+00:00,83.445,83.65,83.27,83.57,23436.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.23553079753722,-20.3970779324253,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-273333.0,-39349.43707415778,False,False,False,False,67603.28638390251,False,False,False,False
2025-02-11 18:00:00+00:00,83.59,83.72,83.53,83.635,10516.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.72827520320014,-20.3970779324253,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-262817.0,-42814.05045285301,False,False,False,False,66718.21217640015,False,False,False,False
2025-02-11 19:00:00+00:00,83.64,84.23,83.6,83.97,32228.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.773979302207003,-20.3970779324253,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-230589.0,-45725.28998071575,False,False,False,False,66183.48020467302,False,False,False,False
2025-02-11 20:00:00+00:00,83.97,84.17,83.7,83.75,46032.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.461316253181398,-20.3970779324253,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-276621.0,-49305.068430627136,False,False,False,False,65871.05415498816,False,False,False,False
2025-02-12 15:00:00+00:00,81.115,81.97,80.93,81.535,36948.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.23459405165073,-20.3970779324253,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-313569.0,-53402.183648756945,False,False,False,False,65422.63471072478,False,False,False,False
2025-02-12 16:00:00+00:00,81.545,81.745,81.11,81.685,26085.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.4129710349695,-20.3970779324253,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-287484.0,-57031.35909606304,False,False,False,False,64812.74890125617,False,False,False,False
2025-02-12 17:00:00+00:00,81.685,82.34,81.605,81.905,33571.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.694594519865557,-20.3970779324253,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-253913.0,-60083.787637209345,False,False,False,False,64328.380701236696,False,False,False,False
2025-02-12 18:00:00+00:00,81.905,81.97,81.45,81.545,30403.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.127388712324866,-20.864714598678766,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-284316.0,-63560.25604593478,False,False,False,False,63802.40580664388,False,False,False,False
2025-02-12 19:00:00+00:00,81.545,81.785,81.34,81.69,27687.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80467082062311,-20.864714598678766,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-256629.0,-66553.56990568773,False,False,False,False,63242.47703444785,False,False,False,False
2025-02-12 20:00:00+00:00,81.69,81.85,81.605,81.78,43024.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.943765133621454,-20.864714598678766,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-213605.0,-68833.43703893288,False,False,False,False,62929.01227422385,False,False,False,False
2025-02-13 15:00:00+00:00,79.63,80.145,79.2,79.305,115343.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.52693331411712,-23.390657910624356,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-328948.0,-72866.2209608099,False,False,False,False,63741.632238964565,False,False,False,False
2025-02-13 16:00:00+00:00,79.305,79.75,79.27,79.37,50055.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.630526612329223,-25.372343142769672,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-278893.0,-76060.43458932446,False,False,False,False,63529.43639029845,False,False,False,False
2025-02-13 17:00:00+00:00,79.37,79.54,79.21,79.25,32295.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.223146337146407,-26.893448859658996,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-311188.0,-79705.82320034268,False,False,False,False,63045.18156254188,False,False,False,False
2025-02-13 18:00:00+00:00,79.245,79.26,78.81,78.935,44062.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.904205179103023,-28.34861637671799,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-355250.0,-83977.82594142263,False,False,False,False,62750.868670099364,False,False,False,False
2025-02-13 19:00:00+00:00,78.935,79.14,78.9,78.945,41802.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.10036067349884,-29.349148439298908,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-313448.0,-87535.50305860989,False,False,False,False,62426.08000854744,False,False,False,False
2025-02-13 20:00:00+00:00,78.945,79.04,78.7,78.86,120454.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.445505373687046,-30.24641788108272,False,True,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-433902.0,-92905.52626700353,False,False,False,False,63325.737682833525,False,False,False,False
2025-02-14 15:00:00+00:00,78.765,79.035,78.44,78.605,32244.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.647383072338503,-31.292196072967712,False,True,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-466146.0,-98692.20027836782,False,False,False,False,62843.85027689812,False,False,False,False
2025-02-14 16:00:00+00:00,78.625,78.94,78.5,78.53,35094.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.007584597660864,-32.18893130430867,False,True,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-501240.0,-104933.25143684274,False,False,False,False,62413.62004004699,False,False,False,False
2025-02-14 17:00:00+00:00,78.53,78.595,78.26,78.265,31427.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.20089518218089,-33.23153066642638,False,True,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-532667.0,-111564.78242231804,False,False,False,False,61933.20732624781,False,False,False,False
2025-02-14 18:00:00+00:00,78.26,78.55,78.21,78.37,27063.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.79499200851716,-33.23153066642638,False,True,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-505604.0,-117673.91757856116,False,False,False,False,61392.58395684862,False,False,False,False
2025-02-14 19:00:00+00:00,78.36,78.37,77.845,78.0,31946.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.531107572765675,-33.39247383715454,False,True,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-537550.0,-124183.62428276951,False,False,False,False,60936.04777147112,False,False,False,False
2025-02-14 20:00:00+00:00,78.0,78.12,77.825,77.86,100979.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,77.93500000000002,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.124364286056267,-34.04600268250353,False,True,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-638529.0,-132157.97119311415,False,False,False,False,61556.86873625452,False,False,False,False
2025-02-17 15:00:00+00:00,77.86,77.86,77.86,77.86,0.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,77.93500000000002,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.853202094916666,-34.5611767333161,False,True,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-638529.0,-140008.6848180271,False,False,False,False,60602.49867832809,False,False,False,False
2025-02-17 16:00:00+00:00,77.86,77.86,77.86,77.86,0.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,77.93500000000002,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6724273008236,-34.98346648506126,False,True,False,True,False,0.0,0,,,False,False,False,False,,,False,False,False,False,-638529.0,-147737.68195263133,False,False,False,False,59662.925055408276,False,False,False,False
2025-02-17 17:00:00+00:00,77.86,77.86,77.86,77.86,0.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,77.93500000000002,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.551910771428222,-35.340265182979046,False,True,False,True,False,0.0,0,,,False,False,False,False,,,False,False,False,False,-638529.0,-155346.84967429595,False,False,False,False,58737.91846540194,False,False,False,False
2025-02-17 18:00:00+00:00,77.86,77.86,77.86,77.86,0.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,77.93500000000002,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.47156641849797,-35.64810865029432,False,True,False,True,False,0.0,0,,,False,False,False,False,,,False,False,False,False,-638529.0,-162838.04580337662,False,False,False,False,57827.25306283757,False,False,False,False
2025-02-17 19:00:00+00:00,77.86,77.86,77.86,77.86,0.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,77.93500000000002,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.418003516544468,-35.917127692507194,False,True,False,True,False,0.0,0,,,False,False,False,False,,,False,False,False,False,-638529.0,-170213.09935681263,False,False,False,False,56930.706503723806,False,False,False,False
2025-02-17 20:00:00+00:00,77.86,77.86,77.86,77.86,0.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,77.93500000000002,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.382294915242134,-36.15375211508323,False,True,False,True,False,0.0,0,,,False,False,False,False,,,False,False,False,False,-638529.0,-177473.81099469148,False,False,False,False,56048.05989126297,False,False,False,False
2025-02-18 15:00:00+00:00,81.86,82.68,81.85,82.27,74998.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,79.78107270647112,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.53119044884609,-18.060507829786793,True,False,False,True,True,0.0,0,,,False,False,False,False,,,False,False,False,False,-563531.0,-183459.19376996756,False,False,False,False,56341.85741232866,False,False,False,False
2025-02-18 16:00:00+00:00,82.27,82.285,81.7,82.06,38142.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,80.17901242611197,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.852548103363034,-6.3893750073095035,True,False,True,False,True,0.0,0,,,False,False,False,False,,,False,False,False,False,-601673.0,-189943.12875027815,False,False,False,False,56059.689080354576,False,False,False,False
2025-02-18 17:00:00+00:00,82.065,82.065,81.68,81.865,19039.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,80.31709352313311,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.3320216391102,-0.20431579321552817,True,False,True,False,True,0.0,0,,,False,False,False,False,,,False,False,False,False,-620712.0,-196621.71590143663,False,False,False,False,55485.72490856613,False,False,False,False
2025-02-18 18:00:00+00:00,81.865,82.15,81.78,81.92,22639.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,80.46161190970446,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.09032494934749,3.8511855174330165,True,False,True,False,True,0.0,0,,,False,False,False,False,,,False,False,False,False,-598073.0,-202845.76681769342,False,False,False,False,54976.473359596115,False,False,False,False
